go test -v -benchmem -run=^$ -bench=. ./...
goos: linux
goarch: amd64
pkg: github.com/cep21/tdigestbench
BenchmarkTdigest_TotalSize/digest=caio-8         	     100	  10702530 ns/op	   17920 B/op	      11 allocs/op
BenchmarkTdigest_TotalSize/digest=segmentio-8    	     424	   2850477 ns/op	 1380188 B/op	   54778 allocs/op
BenchmarkTdigest_Add/source=linear/digest=caio-8 	 1299153	       932 ns/op	      33 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=linear/digest=segmentio-8         	 1000000	      5674 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=rand/digest=caio-8                	 3973735	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=segmentio-8           	 2212902	       827 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=caio-8         	 1000000	      1772 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=segmentio-8    	 1000000	      3053 ns/op	    1550 B/op	      10 allocs/op
BenchmarkTdigest_Add/source=normal/digest=caio-8              	 3948990	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=normal/digest=segmentio-8         	 2184526	       865 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=caio-8           	 3871680	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=segmentio-8      	 2069173	       813 ns/op	       8 B/op	       1 allocs/op
BenchmarkCorrectness/size=1000/source=tailspike/digest=segmentio/quant=0.100000-8           	1000000000	         0.000043 ns/op	         0.000518 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=tailspike/digest=segmentio/quant=0.500000-8           	1000000000	         0.000043 ns/op	         0.00134 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=tailspike/digest=segmentio/quant=0.900000-8           	1000000000	         0.000042 ns/op	         1.19 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=tailspike/digest=segmentio/quant=0.990000-8           	1000000000	         0.000039 ns/op	         0.0470 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=tailspike/digest=segmentio/quant=0.999000-8           	1000000000	         0.000041 ns/op	         0.0649 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.000000-8                	1000000000	         0.0634 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.100000-8                	1000000000	         0.0711 ns/op	         0.103 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.500000-8                	1000000000	         0.0620 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.900000-8                	1000000000	         0.0695 ns/op	         0.900 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.990000-8                	1000000000	         0.0618 ns/op	         0.990 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=caio/quant=0.999000-8                	1000000000	         0.0610 ns/op	         1.08 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.000000-8           	1000000000	         0.0615 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.100000-8           	1000000000	         0.0631 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.500000-8           	1000000000	         0.0667 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.900000-8           	1000000000	         0.0622 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.990000-8           	1000000000	         0.0611 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=linear/digest=segmentio/quant=0.999000-8           	1000000000	         0.0611 ns/op	         0.500 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.000000-8                  	1000000000	         0.0608 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.100000-8                  	1000000000	         0.0609 ns/op	         0.000004 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.500000-8                  	1000000000	         0.0608 ns/op	         0.000013 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.900000-8                  	1000000000	         0.0664 ns/op	         0.000002 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.990000-8                  	1000000000	         0.0626 ns/op	         0.000000 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=caio/quant=0.999000-8                  	1000000000	         0.0699 ns/op	         0.000004 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.000000-8             	1000000000	         0.0616 ns/op	         0.000000 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.100000-8             	1000000000	         0.0629 ns/op	         0.000829 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.500000-8             	1000000000	         0.0619 ns/op	         0.00326 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.900000-8             	1000000000	         0.0639 ns/op	         0.00121 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.990000-8             	1000000000	         0.0612 ns/op	         0.000123 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=rand/digest=segmentio/quant=0.999000-8             	1000000000	         0.0619 ns/op	         0.000019 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=caio/quant=0.000000-8           	1000000000	         0.0113 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=caio/quant=0.100000-8           	1000000000	         0.0114 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=caio/quant=0.500000-8           	1000000000	         0.0114 ns/op	         0 %diff	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000000/source=alternating/digest=caio/quant=0.900000-8           	1000000000	         0.0113 ns/op	         0 %diff	       0 B/op	       0 allocs/op
